Set,Price_Euro,Pieces,Minifigs
The LEGO Movie 2 Awesome Collector Album,,0,
Holographic Brick Backpack,,0,
Boba Fett Bag Tag,7.99,0,
Darth Vader Bag Tag,7.99,0,
R2 D2 Bag Tag,7.99,0,
Yoda Bag Tag,,0,
Exclusive LEGO Ford Mustang Key Chain,,0,
20th Anniversary Darth Vader Brick Clock,29.99,0,
20th Anniversary Darth Vader Link Watch,24.99,0,
Stormtrooper Bag Tag,7.99,0,
Emmet Clip,,0,
Unikitty Clip,,0,
LEGO Star Wars Notebook with Gel Pen,17.99,0,
Sweet Mayhem Clip,,0,
Benny Clip,,0,
Emmet Minifigure Plush,,0,
Unikitty Plush,,0,
Captain Marvel Black & White Art Print,,0,
Captain Marvel Art Print,,0,
Avengers: Endgame art print,,0,
Avengers: Endgame Black & White Art Print,,0,
Spider-Man: Far From Home Art Print,,0,
Spider-Man: Far From Home Black & White Art Print,,0,
THE LEGO MOVIE 2: The Second Part (Blu-ray + DVD),,0,
20th Anniversary Star Wars Poster,,0,
Star Wars 20th anniversary art print,,0,
Minifigure Notebook,12.66,0,
Lloyd Luggage Tag,7.99,0,
Mechanical Pencil,3.99,0,
2x4 Brick Luggage Tag,7.99,0,
"Red, Bright Blue and Yellow Wall Hanger Set",14.99,0,
NASA Apollo 11 Lunar Lander Patch,,0,
Reversible Canvas Tote Bag ,,0,
Minifigure Belight Backpack,44.99,0,
Friends Belight Backpack,44.99,0,
NINJAGO Belight Backpack,43.86,0,
NINJAGO Pencil Roll,7.99,0,
Friends Pencil Roll,7.79,0,
Minifigure Pencil Roll,7.79,0,
Teen Minifigure Backpack,49.99,0,
Minifigure Drawstring Bag,11.69,0,
Kindergarten Backpack,19.99,0,
Minifigure Lunch Box,6.99,0,
NINJAGO Lunch Box,6.81,0,
Stranger Things Sketchbook,,0,
Stranger Things Poster,,0,
Back to School Pack,,0,
Belgian Patent for LEGO Elements 1958,,0,
"1st Edition Elephant Water Colour Print, Circa 1937",,0,
"1st Edition of Wooden Duck Print, 1958",,0,
Toy Hen and Chicks Art Print,,0,
Australian Patent LEGO Minifigure 1977,,0,
Japanese Patent LEGO Duplo Brick 1968 Art Print,,0,
VIP Gifting Set,,0,
Picnic Blanket,,0,
LEGO Lunchbox,,0,
LEGO Batman Deluxe Costume,39.99,0,
Santa Bag Tag,7.99,0,
Holiday Bag Tag R2 D2,,0,
Holiday Bag Tag Chewbacca,7.79,0,
Holiday Bag Tag Darth Vader,,0,
Holiday Bag Tag Yoda,7.79,0,
Brick Friday 2019 Minifigure,,0,
Brick Friday 2019 Brick,,1,
LEGO Masters Shopping Bag,,0,
Chewbacca Plush,26.99,0,
Lion Dance,,0,
Piglet,,723,
Spring,,125,
Summer,,103,
Autumn,,126,
Winter,,113,
Reindeer ornament,,0,
Snowman ornament,,0,
Santa ornament,,0,
Christmas tree ornament,,0,
Surfer Van,,62,
Buildable 2x4 Red Brick,,72,
Buildable 2x4 Red Brick,,72,
Windmill,,127,
Amsterdam BrickHeadz,,110,
Tantive IV,,56,
Summer Sailboat,,37,
100 Stores minifigure,,1,
Arendelle Castle,,62,
Beijing BrickHeadz,,110,
Minifigure box,,0,
Löwenstein Castle,,2015,
Antique Fire Engine,,1278,
Skyline Express,,1365,
Wild West Saloon,,1496,
Isle of Peril,,1301,
Eight Studs,,1393,
Science Tower,,1204,
The LEGO Story,,1442,
Imagine it! Build it!,,924,
Hot Shot Carnival ,,591,
Vintage Roadster,,474,
Bikes!,,519,
Steampunk Mini Chess,,371,
Blocks magazine issue 52,,0,
Blocks magazine issue 53,,0,
Blocks magazine issue 54,,0,
Blocks magazine issue 55,,0,
Blocks magazine issue 56,,0,
Blocks magazine issue 57,,0,
Blocks magazine issue 58,,0,
Blocks magazine issue 59,,0,
Blocks magazine issue 60,,0,
Blocks magazine issue 61,,0,
Blocks magazine issue 62,,0,
Blocks magazine issue 63,,0,
Brick Fanatics magazine issue 3,,0,
Brick Fanatics magazine issue 4,,0,
Brick Fanatics magazine issue 5,,0,
Brick Fanatics magazine issue 6,,0,
Brick Fanatics magazine issue 7,,0,
Brick Fanatics magazine issue 8,,0,
Brick Fanatics magazine issue 9,,0,
Brick Fanatics magazine issue 10,,0,
Brick Fanatics magazine issue 11,,0,
Brick Fanatics magazine issue 12,,0,
BrickJournal Issue 55,,0,
